date,user,view
2017/1/1,47,129
2017/1/2,55,111
2017/1/3,52,180
2017/1/4,92,162
2017/1/5,113,266
2017/1/6,114,246
2017/1/7,67,111
2017/1/8,77,139
2017/1/9,125,266
2017/1/10,183,387
2017/1/11,253,425
2017/1/12,190,346
2017/1/13,139,283
2017/1/14,120,235
2017/1/15,146,245
2017/1/16,223,398
2017/1/17,255,461
2017/1/18,270,530
2017/1/19,265,536
2017/1/20,279,497
2017/1/21,169,238
2017/1/22,210,332
2017/1/23,342,581
2017/1/24,436,801
2017/1/25,384,698
2017/1/26,451,774
2017/1/27,338,587
2017/1/28,222,418
2017/1/29,263,426
2017/1/30,366,598
2017/1/31,326,664
2017/2/1,278,463
2017/2/2,279,536
2017/2/3,246,530
2017/2/4,149,297
2017/2/5,203,357
2017/2/6,304,606
2017/2/7,362,652
2017/2/8,295,596
2017/2/9,321,662
2017/2/10,273,484
2017/2/11,128,219
2017/2/12,133,214
2017/2/13,244,432
2017/2/14,218,517
2017/2/15,206,358
2017/2/16,201,453
2017/2/17,204,517
2017/2/18,99,178
2017/2/19,106,175
2017/2/20,218,442
2017/2/21,249,523
2017/2/22,222,574
2017/2/23,231,562
2017/2/24,181,438
2017/2/25,114,255
2017/2/26,141,296
2017/2/27,202,415
2017/2/28,249,601
2017/3/1,241,502
2017/3/2,220,471
2017/3/3,218,448
2017/3/4,165,391
2017/3/5,161,409
2017/3/6,256,572
2017/3/7,297,803
2017/3/8,230,585
2017/3/9,258,545
2017/3/10,214,576
2017/3/11,149,304
2017/3/12,152,331
2017/3/13,233,510
2017/3/14,240,496
2017/3/15,257,561
2017/3/16,261,600
2017/3/17,246,497
2017/3/18,176,344
2017/3/19,141,258
2017/3/20,144,299
2017/3/21,241,632
2017/3/22,238,1041
2017/3/23,221,615
2017/3/24,192,538
2017/3/25,109,248
2017/3/26,119,313
2017/3/27,220,453
2017/3/28,223,508
2017/3/29,202,503
2017/3/30,213,502
2017/3/31,197,509
2017/4/1,122,253
2017/4/2,137,250
2017/4/3,214,425
2017/4/4,247,725
2017/4/5,253,632
2017/4/6,262,601
2017/4/7,262,683
2017/4/8,170,380
2017/4/9,181,480
2017/4/10,308,708
2017/4/11,365,773
2017/4/12,316,635
2017/4/13,355,720
2017/4/14,301,592
2017/4/15,170,428
2017/4/16,210,440
2017/4/17,408,862
2017/4/18,483,967
2017/4/19,419,852
2017/4/20,492,915
2017/4/21,442,835
2017/4/22,224,429
2017/4/23,241,511
2017/4/24,537,1221
